Issue Type,Custom field (Epic Name),Issue key,Issue id,Parent id,Summary,Status,Resolution
Story,,KSW-1,48012,,Generalize the SBC boot sequence,Done,Done
Story,,KSW-2,48166,,Run K2 regression tests on Felix,Done,Done
Story,,KSW-3,48167,,Selectively include/build K3 SW projects on a .so basis,Done,Done
Story,,KSW-4,48175,,Verify that the 7672 boots after making the code changes.,In Progress,
Story,,KSW-5,48177,,Verify that the 7672 still boots and the 7674 also boots after making any addition code changes.,In Progress,
Story,,KSW-6,48182,,"As a developer, I want to reconfigure all Felix SBCs to get to the current Red Hawk and latest Funnel Cake patch release so that I have solid baseline for future development/regression testing.",Done,Done
Story,,KSW-7,48186,,Configure Felix for use with regression testing,Done,Done
Task,,KSW-8,48187,,"Double-check that the router daughter card is not on the Felix switch (and if it is, have it removed).",Done,Done
Story,,KSW-9,49079,,Update k3_sf2_software project to support SHT35,In Progress,
Story,,KSW-10,50345,,[ABEU_BOOT] Umbrella:  Networked Node Boot change (all ABEUs and SCU slot 1 processor),In Progress,
Story,,KSW-11,50352,,[ABEU_BOOT] Tactical mode - networked node,In Progress,
Story,,KSW-12,50353,,[ABEU_BOOT] Tactical mode - SCU slot 0 processor,In Progress,
Story,,KSW-13,50354,,[ABEU_BOOT] UDP library Configured as server,Done,Done
Story,,KSW-14,50355,,[ABEU_BOOT] UDP library Configured as client,In Review,
Story,,KSW-15,51417,,Disable pushing down of scripts to the SCU,In Progress,
Story,,KSW-16,51420,,Disable Secure Shell (SSH),In Progress,
Story,,KSW-17,51422,,Configure the lab machines in MC039 to enable work to be performed in that environment.,In Progress,
Story,,KSW-18,51424,,Prepare the lab for the inclusion of the String Test Set.,In Progress,
Story,,KSW-19,51425,,"Setup the air-cooled chassis, Wilma, in MC039.",In Progress,
Sub-task,,KSW-20,51426,51425,Setup in a K2 configuration as a baseline.,In Progress,
Sub-task,,KSW-21,51429,51425,Setup in a 7674 configuration.,In Progress,
Sub-task,,KSW-22,51430,51425,Setup in a 7674 with XMC.,In Progress,
Story,,KSW-23,51628,,Move the Util scripts onto the SCU SBC,Blocked,
Story,,KSW-24,51631,,Disable the uploading of the old scripts,Done,Done
Story,,KSW-25,51634,,[SSD_AUTH] SSD Zeroisation and re-imaging ,In Progress,
Story,,KSW-26,54059,,Pathfinding: Determine log file Jira stories,Done,Done
Story,,KSW-27,54075,,Create Jenkins job to execute Unit Tests,Done,Done
Story,,KSW-28,54076,,Path finding for hard drive Zeroization,Done,Done
Story,,KSW-29,54300,,Create ability to disable all logging,New,
Story,,KSW-30,54301,,Create ability to disable logging of individual messages,New,
Story,,KSW-31,54302,,Learn what logs are created and collect example logs from actual runs.,Done,Done
Story,,KSW-32,54363,,Placeholder story for generating K3 Git transition tutorial/documentation.,New,
Story,,KSW-33,54365,,Placeholder for UEFI story,New,
Story,,KSW-34,54608,,Create a 7674 Coreboot Synergy project,Done,Done
Story,,KSW-35,54709,,Document how to VLAN the SCU switch,Done,Done
